Rainfall_Bastia_Umbra,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano,Date,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,14/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,15/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,16/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,17/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,18/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,19/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,20/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,21/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,22/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,23/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,24/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,25/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,26/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,27/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,28/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,29/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,30/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,31/03/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,01/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,02/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,03/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,04/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,05/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,06/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,07/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,08/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,09/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,10/04/2006,-31.58,-30.75
1.556632531555132,15.030292926887354,13.739080733507981,-29043.29672597015,2.3725172660157177,11/04/2006,-31.58,-30.75
