Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Date,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
3.4952380952380957,3.1238095238095234,3.647619047619048,2.6952380952380954,7.666666666666667,-38.731904761904765,-52.07238095238095,-306.7271428571429,0.06666666666666668,-0.15,-0.17142857142857143,01/01/2000,-0.36746919771000003,-2.847601308249998,-5.995852211179998,-20.364605642799972
6.409523809523809,5.7,2.2666666666666666,8.952380952380954,1.1523809523809523,-38.567142857142855,-52.03857142857142,-306.2195238095239,1.5976190476190475,1.55,1.030952380952381,02/01/2000,-0.36916786307000005,-2.8629064175199996,-6.019592512699997,-20.479734082599986
3.1523809523809527,5.880952380952381,3.1333333333333333,8.0,2.4952380952380957,-38.324285714285715,-51.811904761904756,-304.1380952380953,3.002380952380952,2.7,2.3642857142857143,03/01/2000,-0.3216182040900001,-2.252912845099999,-4.537130595899998,-21.07631255460001
2.857142857142857,4.647619047619047,6.457142857142857,2.257142857142857,2.8285714285714287,-37.95666666666666,-51.54238095238096,-303.2223809523809,4.514285714285713,4.0,3.6928571428571426,04/01/2000,-0.36768566394999963,-2.7282405477300036,-5.0363201261599935,-23.59009451440001
3.0476190476190474,6.152380952380952,5.247619047619048,5.40952380952381,2.9428571428571426,-37.96714285714286,-51.67666666666667,-304.61095238095237,5.185714285714286,4.6,4.359523809523809,05/01/2000,-0.33775162467000014,-2.317334686009998,-4.495010330589997,-21.601015621500032
2.1333333333333337,2.5619047619047626,1.9047619047619047,2.761904761904762,1.0380952380952384,-37.732857142857135,-51.44285714285714,-301.36523809523817,4.733333333333333,4.3,3.842857142857143,06/01/2000,-0.34314976043999956,-2.649682684929999,-4.8477677690800025,-21.697991577499973
3.8476190476190473,5.728571428571429,6.285714285714286,6.123809523809523,4.20952380952381,-38.457142857142856,-51.85952380952382,-304.80428571428575,4.376190476190477,3.85,3.3785714285714286,07/01/2000,-0.31712494762000004,-2.201732731569998,-4.4756798011999965,-21.0960564242
2.1333333333333337,2.5619047619047626,1.9047619047619047,2.761904761904762,1.0380952380952384,-37.732857142857135,-51.44285714285714,-301.36523809523817,4.733333333333333,4.3,3.842857142857143,08/01/2000,-0.34314976043999956,-2.649682684929999,-4.8477677690800025,-21.697991577499973
1.5047619047619047,4.9,5.161904761904762,4.923809523809524,5.0285714285714285,-38.34142857142857,-51.60952380952381,-305.24285714285713,5.614285714285716,5.15,4.497619047619048,09/01/2000,-0.3394485561500001,-2.3327401816499975,-4.526277943679998,-21.713254018600022
3.6761904761904765,2.342857142857143,3.152380952380952,3.504761904761905,1.9904761904761907,-37.89999999999999,-51.441428571428574,-303.9495238095237,4.897619047619047,4.45,3.823809523809523,10/01/2000,-0.34199359322,-2.4018801849100004,-4.561664633470003,-21.428334713700046
4.666666666666667,4.819047619047619,4.295238095238095,0.9238095238095237,1.3523809523809522,-38.33238095238096,-51.86761904761905,-308.0023809523809,1.4333333333333336,1.0,0.6642857142857143,11/01/2000,-0.34535176613000007,-2.580135404609998,-3.4171369630700013,-19.363472401700022
