Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione,Date,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC
0.41111111111111115,0.8888888888888888,0.9555555555555555,3.744444444444445,0.30000000000000004,0.35555555555555557,0.044444444444444446,0.0,1.011111111111111,0.20000000000000004,0.0,0.0,0.0,0.0,-9221.161399333334,-16869.881997777775,-12536.35577,-1952.1672939444445,-1265.142742,0.335,-0.21777777777777776,05/03/1998,-12.762599999999997,-5.243300000000002,-1.5076000000000005,-6.220699999999999,-3.6344
2.5222222222222217,2.3,5.633333333333334,1.7444444444444445,1.8888888888888888,1.8999999999999997,2.1555555555555554,5.288888888888888,1.077777777777778,5.066666666666666,0.0,0.0,0.0,10.05,-9254.675607944444,-16562.85652777778,-11629.189615833331,-2298.6539299444444,-1589.9553891111111,0.3361111111111111,-0.2222222222222222,06/03/1998,-12.661099999999998,-5.247200000000001,-1.4901999999999997,-6.1697000000000015,-3.7183999999999986
4.0,7.155555555555556,5.933333333333334,7.122222222222222,5.566666666666666,6.055555555555555,5.144444444444444,1.2222222222222223,1.9333333333333336,7.577777777777777,0.0,9.2,0.0,10.0,-8259.577522222222,-14905.416836666664,-10500.818333722222,-3277.130021111111,-2120.4395287999996,0.28,-0.4172222222222222,07/03/1998,-12.7997,-5.360999999999997,-1.7483000000000002,-6.268900000000002,-4.123499999999998
1.7444444444444445,2.3666666666666663,2.855555555555556,2.3111111111111113,1.7555555555555555,2.1222222222222222,1.7777777777777777,1.0333333333333332,1.5,3.0444444444444443,0.0,11.4,0.0,13.85,-8928.661653944444,-15067.651738333332,-11167.03087711111,-2330.044665222222,-1357.9863670555555,0.22388888888888886,-0.29500000000000004,08/03/1998,-12.835999999999999,-5.430199999999998,-1.8655000000000004,-6.528700000000002,-4.1331999999999995
1.7444444444444445,2.3666666666666667,2.855555555555556,2.3333333333333335,1.7555555555555555,2.122222222222222,1.7777777777777777,1.0333333333333332,1.5,3.0444444444444447,0.0,11.4,0.0,12.85,-9127.422969277779,-15046.155926666666,-11301.95887711111,-1999.1537922222221,-1154.3673194444443,0.22388888888888892,-0.29500000000000004,09/03/1998,-12.876399999999999,-5.432699999999999,-1.8799000000000001,-6.563600000000003,-4.1442
3.4555555555555557,5.788888888888889,4.2444444444444445,5.433333333333334,4.622222222222224,4.866666666666667,4.466666666666666,0.3111111111111111,1.1777777777777778,6.477777777777778,0.0,7.95,0.0,6.5,-7908.273744888888,-14929.277364444446,-10293.728916944447,-3910.536379888889,-2586.873476577778,0.24833333333333332,-0.5738888888888889,10/03/1998,-12.806199999999999,-5.397299999999999,-1.8335000000000001,-6.291200000000003,-4.1903999999999995
0.05555555555555555,0.06666666666666668,2.344444444444444,0.1,0.011111111111111112,0.0,0.08888888888888889,0.03333333333333333,3.388888888888889,0.12222222222222223,0.0,6.15,0.0,1.85,-8887.573624,-16351.446308888893,-11667.480107111109,-2927.046147,-1955.1220429444443,0.22611111111111112,-0.38555555555555554,11/03/1998,-12.6878,-5.412299999999997,-1.7497999999999994,-6.258499999999997,-4.1155
3.4777777777777774,5.855555555555557,4.688888888888889,5.5,4.611111111111111,4.866666666666667,4.466666666666666,0.47777777777777786,11.8,6.5,0.0,4.95,0.0,6.8,-7680.894169388888,-15628.455744444444,-10715.415677555555,-4382.124193555555,-2744.732616411111,0.24055555555555555,-0.6061111111111112,12/03/1998,-12.762999999999998,-5.403099999999999,-1.7913000000000006,-6.2759,-4.2375
4.766666666666667,7.844444444444444,6.811111111111112,7.7333333333333325,6.888888888888889,7.844444444444444,6.066666666666666,0.3111111111111111,12.266666666666666,9.100000000000001,0.0,5.4,0.0,9.05,-7574.340254333334,-15348.264837777779,-10396.250068333333,-4345.815276666666,-2869.136363022222,0.2833333333333334,-0.5633333333333334,13/03/1998,-12.781700000000003,-5.389299999999997,-1.7939,-6.312900000000002,-4.185899999999999
3.566666666666666,6.233333333333333,4.788888888888889,5.9222222222222225,5.066666666666666,5.288888888888888,4.644444444444445,0.3111111111111111,1.6444444444444446,6.766666666666666,0.0,8.95,0.0,8.05,-7385.320500666667,-15369.254087222223,-10349.3839765,-4631.171415722221,-3023.3029568555557,0.26555555555555554,-0.6661111111111111,14/03/1998,-12.799299999999999,-5.395899999999997,-1.8259,-6.255500000000001,-4.207199999999998
