Mean_Rainfall,Mean_Temp,Actual_Depth,Actual_Volume,Actual_Hydrometry,Date
0.41555555555555557,6.625,-6.08026,-8019.271157893335,-0.08305555555555552,1998-01-04
2.0544444444444445,6.075,-6.06452,-7956.571284604445,-0.10416666666666663,1998-01-05
0.921111111111111,9.0875,-6.157059999999999,-7715.808853877778,0.011944444444444452,1998-01-06
0.8788888888888888,12.325,-6.10774,-7731.378766426668,-0.008611111111111097,1998-01-07
0.9088888888888889,12.649999999999999,-6.053100000000001,-7812.676448504445,-0.07222222222222219,1998-01-08
0.831111111111111,10.8125,-6.0644599999999995,-7783.433680148888,-0.051944444444444404,1998-01-09
0.8377777777777776,8.9625,-6.138259999999997,-7825.493812999998,-0.021944444444444447,1998-01-10
0.43000000000000005,6.75,-6.157059999999999,-7715.808853877778,0.011944444444444438,1998-01-11
4.618888888888888,3.9,-6.17872,-7840.9630375,-0.03277777777777777,1998-01-12
0.43,6.3375,-6.167820000000002,-7909.856737111113,-0.14916666666666667,1998-02-04
2.0544444444444445,6.199999999999999,-6.138380000000001,-8023.950230222223,-0.1858333333333333,1998-02-05
0.8344444444444445,9.3125,-6.1244000000000005,-7751.390743299999,-0.23083333333333333,1998-02-06
0.888888888888889,12.075,-6.13338,-7809.787859077778,-0.24694444444444447,1998-02-07
0.881111111111111,12.9125,-6.124980000000001,-7985.248437833334,-0.18777777777777782,1998-02-08
0.8877777777777777,11.5,-6.1333,-7797.416715666668,-0.09166666666666673,1998-02-09
0.9088888888888889,7.9875,-6.138179999999998,-7864.916265833333,-0.05000000000000003,1998-02-10
0.5033333333333333,7.4125,-5.997519999999999,-7720.60130776,-0.0675,1998-02-11
6.842222222222221,3.825,-5.873719999999999,-8368.94184061111,0.05861111111111114,1998-02-12
0.36111111111111116,6.6125,-6.134280000000002,-7899.666765355556,-0.14111111111111108,1998-03-04
0.36000000000000004,6.7375,-6.14054,-7811.308127722223,-0.18583333333333332,1998-03-05
0.831111111111111,10.9875,-6.14912,-8197.138351533335,-0.2563888888888889,1998-03-06
0.8322222222222223,10.725,-6.10632,-8097.566094888889,-0.34194444444444444,1998-03-07
0.8788888888888888,12.837499999999999,-6.11242,-8127.271729644444,-0.26749999999999996,1998-03-08
0.888888888888889,12.0625,-6.100419999999998,-8288.320387388889,-0.3569444444444444,1998-03-09
1.38,7.425,-6.152680000000001,-7997.843355444445,-0.18277777777777776,1998-03-10
1.3799999999999997,7.325,-6.090159999999999,-8016.2249626111125,-0.11805555555555555,1998-03-11
5.721111111111111,4.2,-6.1141999999999985,-8098.3326610933345,-0.16805555555555557,1998-03-12
6.963333333333333,3.6125000000000003,-6.117579999999999,-8147.274703911113,-0.3472222222222222,1998-03-13
4.423333333333334,4.25,-6.150319999999999,-7994.375837633333,-0.39416666666666667,1998-03-14
5.142222222222222,5.0625,-6.09852,-7821.817418255557,-0.39416666666666667,1998-03-15
0.34,5.65,-6.0745,-7767.0289755,-0.2841666666666666,1998-03-16
0.31333333333333335,5.7875,-6.11988,-7659.989917722222,-0.2152777777777778,1998-03-17
0.43,6.25,-6.144940000000001,-7951.262416222222,-0.15416666666666667,1998-03-18
0.09777777777777777,5.987500000000001,-6.1103000000000005,-7795.655605833334,-0.17944444444444446,1998-03-19
4.388888888888888,5.1,-6.110760000000001,-7718.792373833332,-0.23361111111111107,1998-03-20
5.156666666666667,5.1625,-6.10942,-7718.792373833332,-0.28,1998-03-21
4.664444444444444,3.35,-6.13772,-7734.3882617555555,-0.20500000000000004,1998-03-22
1.7966666666666669,2.55,-6.12826,-7736.357642077778,-0.2005555555555556,1998-03-23
6.657777777777776,2.0375,-6.1239,-7734.3921009666665,-0.21805555555555556,1998-03-24
7.126666666666667,2.15,-6.14684,-7749.725213011111,-0.20916666666666667,1998-03-25
4.427777777777779,2.6125,-6.14054,-7811.308127722223,-0.18583333333333332,1998-03-26
4.61888888888889,4.0375,-6.14666,-7657.205619911112,-0.20500000000000002,1998-03-27
1.3033333333333332,5.5,-6.13338,-7905.4165756444445,-0.21138888888888885,1998-03-28
0.09555555555555556,6.325,-6.149219999999999,-7749.725213011111,-0.18361111111111114,1998-03-29
0.3822222222222222,6.45,-6.149219999999999,-7749.725213011111,-0.18361111111111114,1998-03-30
0.41555555555555557,6.9,-6.12914,-7746.231659977779,-0.2113888888888889,1998-03-31
1.3222222222222222,7.225,-5.85732,-8267.066214122224,0.056944444444444436,1998-04-04
0.4166666666666667,7.4375,-6.103159999999999,-7638.501525722223,-0.0777777777777778,1998-04-05
